id,election,party,party_id_source,alliance,seats,vote_share,votes,person,data_source,description,comment,data_json
416,289,370,Partidu Andalucista,,2,1.05,212687,,epp,,,
417,341,742,Partij van de Arbeid,,9,33.7,1785165,,verk,,,
419,345,1540,JCP,,3,2.9,1156723,,no-2001,,,
420,189,1307,BPC,,2,3.6,172765,,clea-11,,,
421,445,558,SPD,,239,33.5,15545366,,bwl,,,
422,371,35,SPS,,55,24.9,480396,,bafs,,,
423,127,851,Democratic Party -- DIKO,,16,27.65,88322,,parline,,,
424,286,368,Liberal Party of Canada,,48,33.59,2447744,,pica,,,
426,5,1273,PPD/PSD,,8,33.95,1131744,,cne,,,
427,98,1118,National Coalition Party,,35,18.4,505145,,tila,,,
428,355,1160,"Koalitsiya - BSP, BZNS 'Al. Stamboliiski' i PK 'Ekoglasnost'",,125,43.5,2262943,,essex,,,
429,602,200,True Finns,,7,4.8,132133,,tila,,,
430,531,1644,Socialistisk Folkeparti,,11,6.1,174553,,folketing,,,
431,6,318,Páirti Lucht Oibre,,17,11.63,186410,,gall-09,,,
436,62,1452,Pacifistisch-Socialistische Partij,,1,1.2,110182,,verk,,,
439,553,1192,PSC,,2,8.08,476795,,ibz,,,
440,36,506,The Liberal Party,,0,2.2,4148,,hagstofa,,,
441,670,1553,Põllumeeste Kogu,,0,2.91,13356,,vvk,,,
442,446,151,Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,,5,10.47,314635,,asl,,,
443,30,602,EVP,,1,1.1,10581,,bafs,,,
444,395,1137,EK,,2,26.1,103506,,vvk,,,
445,196,1250,British National Party,,0,4.9,808201,,ejpr,,,
446,354,1118,National Coalition Party,,32,15,346638,,tila,,,
447,588,772,GRÜNE,,42,8.3,3126256,,bwl,,,
449,671,1591,Hungarian Socialist Party,,134,32.9,1497231,,ovb,,,
452,517,104,Det norske Arbeiderparti,,68,43.1,883319,,mackie,,,
453,264,1280,Ecologist Greens,,1,3.49,178960,,mig,,,
454,336,713,PRM,,84,19.48,2112027,,essex,,,
455,310,1500,Lega,,1,0.6,13465,,"bafs, ejpr",,,
457,363,1278,SDI,,2,2.16,671821,,archivio,,,
458,84,1292,Left Alliance,,35,17.9,518045,,tila,,,
459,50,789,Ceská strana sociálne demokratická,,74,32.32,1728827,,volby,,,
461,339,851,Democratic Party -- DIKO,,9,14.8,60986,,parline,,,
466,441,1142,HZDS,,1,8.97,74241,,ssr,,,
467,374,882,Left Party,,3,15.8,400073,,val,,,
468,374,904,Social Democrats,,6,26,657497,,val,,,
469,248,427,PDC,,0,1.24,72514,,cne,,,
470,62,742,Partij van de Arbeid,,52,33.27,3051678,,verk,,,
472,42,118,PARTIDO COMUNISTA DE ESPAÑA,,19,9.35,1709890,,epp,,,
473,77,1292,Left Alliance,,36,16.6,420556,,tila,,,
474,237,1382,CP,,7,0.41,247334,,ejpr,,,
475,52,257,"Political Patriotic Union ""Motherland” (Politiskā patriotiskā apvienība ""DZIMTENE"")",,0,2.08,18860,,"cvk, rose","Electoral alliance: Political Patriotic Union ""Motherland” (Politiskā patriotiskā apvienība ""DZIMTENE"") with For Freedom, Social Justice and Equal Rights (ЗаСССР)",,
476,51,742,Partij van de Arbeid,,43,27.34,2021454,,verk,,,
478,226,1605,Venstre,,19,10.5,354291,,folketing,,,
479,308,1605,Venstre,,3,16.6,297565,,yb-dnk,,,
